date,sku,item_name,quantity,unit_price,total
2024-01-15,SKU-001,Widget A,5,25.50,127.50
2024-01-15,SKU-002,Widget B,3,50.00,150.00
2024-01-15,SKU-003,Gadget X,2,75.00,150.00
2024-01-16,SKU-001,Widget A,8,25.50,204.00
2024-01-16,SKU-002,Widget B,1,50.00,50.00
2024-01-16,SKU-004,Tool Y,4,15.00,60.00
2024-01-17,SKU-001,Widget A,6,25.50,153.00
2024-01-17,SKU-003,Gadget X,4,75.00,300.00
2024-01-17,SKU-005,Part Z,10,5.00,50.00
2024-01-18,SKU-002,Widget B,7,50.00,350.00
2024-01-18,SKU-004,Tool Y,3,15.00,45.00
2024-01-19,SKU-001,Widget A,9,25.50,229.50
2024-01-19,SKU-003,Gadget X,2,75.00,150.00
2024-01-19,SKU-005,Part Z,15,5.00,75.00
2024-01-20,SKU-002,Widget B,5,50.00,250.00
2024-01-20,SKU-004,Tool Y,6,15.00,90.00
2024-01-21,SKU-001,Widget A,4,25.50,102.00
2024-01-21,SKU-003,Gadget X,3,75.00,225.00
2024-01-22,SKU-002,Widget B,8,50.00,400.00
2024-01-22,SKU-005,Part Z,12,5.00,60.00
